DATE,temp_f,temp_c,YEAR
1991-01-01,54.49862258953168,12.499234771962046,1991
1992-01-01,54.556164383561644,12.531202435312023,1992
1993-01-01,50.82934131736527,10.460745176314038,1993
1994-01-01,38.71578947368421,3.730994152046784,1994
1995-01-01,54.79281767955801,12.662676488643339,1995
1996-01-01,55.23351648351648,12.907509157509157,1996
1997-01-01,54.27472527472528,12.374847374847375,1997
1998-01-01,55.93150684931507,13.295281582952814,1998
1999-01-01,56.07945205479452,13.377473363774733,1999
2000-01-01,56.71978021978022,13.733211233211232,2000
2001-01-01,56.45753424657534,13.58751902587519,2001
2002-01-01,56.63835616438356,13.687975646879757,2002
2003-01-01,57.23013698630137,14.016742770167427,2003
2004-01-01,55.4207650273224,13.011536126290226,2004
2005-01-01,56.87123287671233,13.817351598173515,2005
2006-01-01,57.772602739726025,14.318112633181126,2006
2007-01-01,56.61643835616438,13.675799086757992,2007
2008-01-01,56.175342465753424,13.430745814307459,2008
2009-01-01,54.212574850299404,12.340319361277446,2009
2010-01-01,55.85479452054795,13.252663622526637,2010
2011-01-01,55.97527472527472,13.31959706959707,2011
2012-01-01,59.85753424657534,15.476407914764078,2012
2013-01-01,55.45479452054794,13.030441400304415,2013
2014-01-01,55.367123287671234,12.981735159817351,2014
2015-01-01,56.710743801652896,13.728191000918272,2015
2016-01-01,57.83606557377049,14.353369763205828,2016
2017-01-01,60.129129129129126,15.627293960627293,2017
2018-01-01,57.00547945205479,13.89193302891933,2018
2019-01-01,54.42699724517907,12.459442913988367,2019
2020-01-01,57.69146005509642,14.273033363942455,2020
2021-01-01,57.53846153846154,14.188034188034187,2021
2022-01-01,56.13972602739726,13.41095890410959,2022
2023-01-01,58.99633699633699,14.997964997964997,2023
